"Date","S.P.Composite","Dividend","Earnings","CPI","Long.Interest.Rate","Real.Price","Real.Dividend","Real.Earnings","Cyclically.Adjusted.PE.Ratio"
"1973",107.423333333333,3.24083333333333,7.325,44.4,6.8425,661.752225619088,19.9295330941558,44.9886981845139,16.1479152852948
"1974",82.5525,3.51416666666667,8.71416666666667,49.3083333333333,7.5575,459.579870538427,19.4658068946194,48.2513035712838,10.926211788701
"1975",86.1558333333333,3.68583333333333,8.11,53.8166666666667,7.9875,436.874561669533,18.7036160652542,41.1864406100811,10.2362398755863
"1976",102.021666666667,3.80666666666667,9.18,56.9083333333333,7.61166666666667,489.430422189364,18.2577119179779,44.0107855090281,11.5434639395015
"1977",98.21,4.37833333333333,10.4433308333333,60.6083333333333,7.41916666666667,442.747849744633,19.7137023458925,47.0309447942274,10.431512631231
"1978",96.02,4.91666666666667,11.3925,65.2333333333333,8.41,401.736661598069,20.5778598110724,47.6635832841003,9.37913964951764
"1979",103.0225,5.37666666666667,13.9816666666667,72.575,9.4425,387.676349423658,20.228565220836,52.5671658690396,8.92723348238527
"1980",118.783333333333,5.95,14.9258333333333,82.4083333333333,11.46,392.998463152747,19.7147614579547,49.507651189291,8.83304899028994
"1981",128.041666666667,6.41583333333333,15.01,90.925,13.9108333333333,385.024649102263,19.2659633880831,45.0772944726209,8.46321095522899
"1982",119.725,6.7925,14.0216666666667,96.5,13.0016666666667,338.572089458934,19.2179767464175,39.7081519221202,7.34674555852798
"1983",160.425,6.96666666666667,12.9691666666667,99.6,11.105,439.558415113711,19.096579211221,35.5370907329245,9.64208181663298
"1984",160.466666666667,7.31333333333333,15.9475,103.883333333333,12.4383333333333,421.695573238553,19.2181043899597,41.8944716289026,9.42955623051919
"1985",186.85,7.75416666666667,15.6291666666667,107.566666666667,10.6233333333333,474.071966458695,19.6794682837417,39.6880745239466,10.6913075510206
"1986",236.358333333333,8.12583333333333,14.6508333333333,109.608333333333,7.6825,588.673087598045,20.2385415577801,36.4918322771945,13.387709194472
"1987",286.841666666667,8.53833333333333,15.4683333333333,113.625,8.38416666666667,689.350659588253,20.5130019331847,37.1486043515848,16.0148687703276
"1988",265.783333333333,9.2675,21.165,118.258333333333,8.84583333333333,613.482803399967,21.3893898991792,48.8054744604246,14.4399157717457
"1989",322.833333333333,10.4041666666667,24.2616666666667,123.966666666667,8.49833333333333,710.446752972561,22.9052111317531,53.4519481848533,16.6137015196314
"1990",334.5875,11.6425,21.6325,130.658333333333,8.55,699.660521208733,24.3231853391413,45.2192156310846,16.4569131660598
"1991",376.1775,12.1783333333333,18.9608333333333,136.191666666667,7.85833333333333,753.914564930821,24.4129142913568,38.0390313490928,17.9198483888119
"1992",415.744166666667,12.3391666666667,17.3341666666667,140.316666666667,7.01,808.871468713862,24.0084752867028,33.7112901336497,19.6352222307656
"1993",451.406666666667,12.5083333333333,20.1333333333333,144.458333333333,5.87333333333333,853.010634075245,23.6393163450079,38.0418198019604,20.7491174075003
"1994",460.329166666667,12.8633333333333,25.7333333333333,148.225,7.08,847.916542521743,23.6911326842305,47.3606524733911,20.4790304100189
"1995",541.638333333333,13.4275,33.75,152.383333333333,6.58,969.872948600385,24.0548222374502,60.4543299491188,22.7199309617856
"1996",670.828333333333,14.39,35.5225,156.85,6.43833333333333,1167.21774356981,25.0434689446867,61.8126925710544,25.943122022946
"1997",872.673333333333,15.2125,40.205,160.516666666667,6.3525,1483.73377080376,25.8723412755581,68.3798279552763,30.9549530881844
"1998",1084.31083333333,15.9275,38.745,163.008333333333,5.26416666666667,1815.76679114264,26.6738130326465,64.8963480758759,36.0067143824889
"1999",1326.06083333333,16.5166666666667,42.0108333333333,166.575,5.63666666666667,2172.92198019689,27.0697079748789,68.8141084525804,42.0680305866661
"2000",1427.0075,16.555,51.49,172.2,6.02916666666667,2262.67130738634,26.250902068553,81.6265925590223,41.7006087813985
"2001",1192.07833333333,15.8291666666667,35.9166666666667,177.066666666667,5.0175,1838.43431625817,24.4073227476525,55.4233326081138,32.0644689079815
"2002",995.63,15.8825,27.0258333333333,179.875,4.61083333333333,1512.21379567764,24.1059178511441,41.0027452552482,25.9166371858818
"2003",963.689166666667,16.4825,36.285,183.958333333333,4.015,1429.85766859028,24.4597511399664,53.8207938305781,24.1076170901376
"2004",1130.5475,18.6341666666667,55.3,188.883333333333,4.27416666666667,1634.14265694444,26.9275995671934,79.8963884966718,26.4134285640441
"2005",1207.06083333333,20.9808333333333,64.005,195.291666666667,4.29,1687.41461400648,29.3220897262797,89.433230026047,26.014442018723
"2006",1310.67,23.5783333333333,75.8366666666667,201.591666666667,4.79166666666667,1775.07214622557,31.927608138155,102.686216421081,25.9778963477839
"2007",1476.63333333333,26.355,79.49,207.342416666667,4.62916666666667,1944.11706723274,34.6940731912805,104.725269858358,26.8319162792367
"2008",1220.88833333333,28.5075,47.4225,215.3025,3.66666666666667,1547.43533815858,36.1514536996856,60.1005002432697,20.7740276698108
"2009",946.735833333333,25.2883333333333,16.4625,214.537,3.25666666666667,1203.83793426816,32.1995067725457,20.8811784093177,16.9247204439384
"2010",1139.3075,22.2283333333333,67.1116666666667,218.0555,3.21416666666667,1426.29818089073,27.8292605054326,83.9965238781775,20.7197950450336
"2011",1268.89,24.5366666666667,83.9775,224.939166666667,2.78583333333333,1540.44494747147,29.7729520401835,101.90149764979,21.7546094066209
"2012",1379.56333333333,28.7258333333333,87.4041666666667,229.593916666667,1.8025,1640.21580176082,34.1518790335937,103.935140609951,21.3532999453624
"2013",1642.51166666667,33.3808333333333,92.1641666666667,232.957083333333,2.35083333333333,1924.58363276378,39.1156722602143,107.997943169337,23.2446098278076
"2014",1930.6675,37.5141666666667,102.884166666667,236.736166666667,2.54083333333333,2226.36121947065,43.2598445255795,118.641211990983,25.4676180382693
"2015",2061.19916666667,41.7833333333333,94.1525,237.017,2.13583333333333,2374.23082410686,48.1240837948601,108.472332875664,26.2136714019525
"2016",2091.84416666667,44.575,88.5816666666667,240.007166666667,1.84166666666667,2378.82262764056,50.7007652682904,100.751113585849,26.0542030727083
"2017",2448.2175,47.4058333333333,104.04,245.119583333333,2.33,2726.20733547157,52.7944416085021,115.855278170453,29.8468691142556
"2018",2744.68,51.3683333333333,123.299166666667,251.106833333333,2.90966666666667,2983.95858457324,55.8426594668539,134.015657979501,31.4517018791095
"2019",2912.50098683261,56.2451520187779,134.9175,255.657416666667,2.1075,3109.3116273646,60.0555831724159,144.071657695154,29.424055802524
"2020",3218.50095603592,59.0941252525967,105.755833333333,258.811166666667,0.894166666666667,3393.64120794327,62.3386112681904,111.593524145393,29.8121294546936
"2021",4114.70532438953,57.8181819332584,132.701666666667,267.81705,1.355,4172.50349255526,59.2984596480701,135.855663551717,36.2242823292372
